42
# x y z
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
835
# a b m n rhoa ip k
2	1	3	4	3.08567200000000e+02	8.72620000000000e+00	1.88495559215388e+01
2	1	5	6	3.77537800000000e+02	9.42460000000000e+00	1.88495559215388e+02
2	1	7	8	3.30843600000000e+02	2.05830000000000e+01	6.59734457253855e+02
2	1	9	10	3.68068500000000e+02	3.49130000000000e+01	1.58336269740927e+03
2	1	4	5	3.45927100000000e+02	9.82280000000000e+00	7.53982236861549e+01
2	1	6	7	4.09336900000000e+02	1.81220000000000e+01	3.76991118430775e+02
2	1	8	9	3.26689900000000e+02	2.93700000000000e+01	1.05557513160617e+03
2	1	10	11	3.28728700000000e+02	4.51720000000000e+01	2.26194671058463e+03
3	2	4	5	2.81046900000000e+02	8.32140000000000e+00	1.88495559215388e+01
3	2	6	7	4.23907700000000e+02	1.30390000000000e+01	1.88495559215388e+02
3	2	8	9	3.75976100000000e+02	2.13000000000000e+01	6.59734457253855e+02
3	2	10	11	3.99213200000000e+02	3.26190000000000e+01	1.58336269740927e+03
3	2	5	6	3.59732500000000e+02	6.97560000000000e+00	7.53982236861549e+01
3	2	7	8	3.65153600000000e+02	1.45780000000000e+01	3.76991118430775e+02
3	2	9	10	4.38095300000000e+02	2.55770000000000e+01	1.05557513160617e+03
3	2	11	12	2.86136300000000e+02	4.04650000000000e+01	2.26194671058463e+03
4	3	5	6	3.02497700000000e+02	5.10120000000000e+00	1.88495559215388e+01
4	3	7	8	3.73711300000000e+02	1.03010000000000e+01	1.88495559215388e+02
4	3	9	10	4.99326600000000e+02	1.84570000000000e+01	6.59734457253855e+02
4	3	11	12	3.46376400000000e+02	3.05760000000000e+01	1.58336269740927e+03
4	3	6	7	4.00349500000000e+02	1.06330000000000e+01	7.53982236861549e+01
